Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,RunInstances,EUC1-DataTransfer-In-Bytes,,05/01/22 20:00:00,05/01/22 21:00:00,130082
AmazonEC2,RunInstances:0002,EUW3-BoxUsage:t2.micro,,05/01/22 17:00:00,05/01/22 18:00:00,15
AmazonEC2,RunInstances,EUW3-DataTransfer-In-Bytes,,05/01/22 11:00:00,05/01/22 12:00:00,4846063
AmazonEC2,RunInstances,EUW3-DataTransfer-Out-Bytes,,05/01/22 08:00:00,05/01/22 09:00:00,16024649
AmazonEC2,EBS:Gp2-IO-Write,EUC1-EBS:VolumeIOUsage.gp2,,05/01/22 23:00:00,05/02/22 00:00:00,3142
AmazonEC2,RunInstances,DataTransfer-Out-Bytes,,05/01/22 22:00:00,05/01/22 23:00:00,102344
AmazonEC2,RunInstances,EUC1-DataTransfer-Out-Bytes,,05/01/22 21:00:00,05/01/22 22:00:00,155416
AmazonEC2,RunInstances,EUW3-DataTransfer-Out-Bytes,,05/01/22 02:00:00,05/01/22 03:00:00,53512630
AmazonEC2,RunInstances,CAN1-DataTransfer-In-Bytes,,05/01/22 06:00:00,05/01/22 07:00:00,8629962
AmazonEC2,RunInstances:0002,EUC1-BoxUsage:t2.micro,,05/01/22 21:00:00,05/01/22 22:00:00,1
AmazonEC2,EBS:Gp2-IO-Read,EBS:VolumeIOUsage.gp2,,05/01/22 23:00:00,05/02/22 00:00:00,0
AmazonEC2,RunInstances,C3DataTransfer-Out-Bytes,,05/01/22 01:00:00,05/01/22 02:00:00,14456
AmazonEC2,EBS:Gp2-IO-Write,EUC1-EBS:VolumeIOUsage.gp2,,05/01/22 04:00:00,05/01/22 05:00:00,3457
AmazonEC2,RunInstances,DataTransfer-In-Bytes,,05/01/22 21:00:00,05/01/22 22:00:00,77727
AmazonEC2,PublicIP-In,EUC1-APS3-AWS-In-Bytes,,05/01/22 03:00:00,05/01/22 04:00:00,4804
AmazonEC2,RunInstances,DataTransfer-Out-Bytes,,05/01/22 11:00:00,05/01/22 12:00:00,66681
AmazonEC2,RunInstances,CAN1-C3DataTransfer-In-Bytes,,05/01/22 16:00:00,05/01/22 17:00:00,28044
